checkpoint,perplexity,loss,num_samples_processed,checkpoint_step
checkpoint-1,,,,1
checkpoint-2,,,,2
checkpoint-4,,,,4
checkpoint-8,,,,8
checkpoint-16,,,,16
checkpoint-32,,,,32
checkpoint-64,,,,64
checkpoint-128,,,,128
checkpoint-192,,,,192
checkpoint-256,,,,256
checkpoint-384,,,,384
checkpoint-512,,,,512
checkpoint-598,,,,598
checkpoint-683,,,,683
checkpoint-853,,,,853
checkpoint-1024,,,,1024
checkpoint-1126,,,,1126
checkpoint-1229,,,,1229
checkpoint-1332,,,,1332
checkpoint-1434,,,,1434
checkpoint-1536,,,,1536
checkpoint-1638,,,,1638
checkpoint-1740,,,,1740
checkpoint-1843,,,,1843
checkpoint-1946,,,,1946
checkpoint-2048,,,,2048
checkpoint-2156,,,,2156
checkpoint-2263,,,,2263
checkpoint-2370,,,,2370
checkpoint-2477,,,,2477
checkpoint-2584,,,,2584
checkpoint-2692,,,,2692
checkpoint-2799,,,,2799
checkpoint-2906,,,,2906
checkpoint-3014,,,,3014
checkpoint-3121,,,,3121
checkpoint-3380,,,,3380
checkpoint-3639,,,,3639
checkpoint-3898,,,,3898
checkpoint-4157,,,,4157
checkpoint-4416,,,,4416
checkpoint-4675,,,,4675
checkpoint-4934,,,,4934
checkpoint-5193,,,,5193
checkpoint-5452,,,,5452
checkpoint-5711,,,,5711
checkpoint-5970,,,,5970
checkpoint-6229,,,,6229
checkpoint-6488,,,,6488
checkpoint-6747,,,,6747
