checkpoint,perplexity,loss,num_samples_processed,checkpoint_step
checkpoint-1,18987.640948695465,9.851543570112577,69381,1
checkpoint-2,18593.399069756353,9.83056190799061,69381,2
checkpoint-4,17024.41335854577,9.74240367277621,69381,4
checkpoint-8,16285.575522385514,9.698035057729744,69381,8
checkpoint-16,18683.748672466216,9.835409370047167,69381,16
checkpoint-32,9644.167869304683,9.174108645755197,69381,32
checkpoint-64,3423.64778614345,8.13846186577412,69381,64
checkpoint-128,2345.2579484021794,7.760150674149525,69381,128
checkpoint-192,1947.6421170665124,7.574374749185895,69381,192
checkpoint-256,1764.8894354090942,7.475843324577545,69381,256
checkpoint-384,1770.1777178025682,7.47883522606575,69381,384
checkpoint-512,2119.466300697335,7.658919591018891,69381,512
checkpoint-683,1887.0680309263369,7.542779597143869,69381,683
checkpoint-853,2029.3956812168944,7.615493333734358,69381,853
checkpoint-1024,1831.3640960598739,7.512816375840131,69381,1024
checkpoint-1229,2016.2688833873776,7.609003994993765,69381,1229
checkpoint-1434,2116.550560669308,7.657542948487036,69381,1434
checkpoint-1638,2262.4699253721797,7.724212382832553,69381,1638
checkpoint-1843,1844.906704693005,7.520183988634039,69381,1843
checkpoint-2048,1486.3107224909677,7.304052303345989,69381,2048
checkpoint-2263,1688.2226833208015,7.431431587853619,69381,2263
checkpoint-2477,1851.595885232166,7.523803186877786,69381,2477
checkpoint-2692,1822.8768199729861,7.508171202441233,69381,2692
checkpoint-2906,1826.5798727788786,7.510200575243009,69381,2906
checkpoint-3121,1785.9420895693718,7.487701336257547,69381,3121
