checkpoint,perplexity,loss,num_samples_processed,checkpoint_step
checkpoint-1,,,,1
checkpoint-2,,,,2
checkpoint-4,,,,4
checkpoint-8,,,,8
checkpoint-16,,,,16
checkpoint-32,,,,32
checkpoint-64,,,,64
checkpoint-128,,,,128
checkpoint-192,,,,192
checkpoint-256,,,,256
checkpoint-320,,,,320
checkpoint-384,,,,384
checkpoint-448,,,,448
checkpoint-512,,,,512
checkpoint-598,,,,598
checkpoint-683,,,,683
checkpoint-768,,,,768
checkpoint-853,,,,853
checkpoint-938,,,,938
checkpoint-1024,,,,1024
checkpoint-1126,,,,1126
checkpoint-1229,,,,1229
checkpoint-1332,,,,1332
checkpoint-1434,,,,1434
checkpoint-1536,,,,1536
checkpoint-1638,,,,1638
checkpoint-1740,,,,1740
checkpoint-1843,,,,1843
checkpoint-1946,,,,1946
checkpoint-2048,,,,2048
checkpoint-2102,,,,2102
checkpoint-2156,,,,2156
checkpoint-2210,,,,2210
checkpoint-2263,,,,2263
checkpoint-2316,,,,2316
checkpoint-2370,,,,2370
checkpoint-2424,,,,2424
checkpoint-2477,,,,2477
checkpoint-2530,,,,2530
checkpoint-2584,,,,2584
checkpoint-2638,,,,2638
checkpoint-2692,,,,2692
checkpoint-2746,,,,2746
checkpoint-2799,,,,2799
checkpoint-2906,,,,2906
checkpoint-2960,,,,2960
checkpoint-3014,,,,3014
checkpoint-3121,,,,3121
checkpoint-3186,,,,3186
checkpoint-3250,,,,3250
checkpoint-3315,,,,3315
checkpoint-3380,,,,3380
checkpoint-3445,,,,3445
checkpoint-3510,,,,3510
checkpoint-3574,,,,3574
checkpoint-3639,,,,3639
checkpoint-3704,,,,3704
checkpoint-3768,,,,3768
checkpoint-3833,,,,3833
checkpoint-3898,,,,3898
checkpoint-3963,,,,3963
checkpoint-4028,,,,4028
checkpoint-4092,,,,4092
checkpoint-4157,,,,4157
checkpoint-4222,,,,4222
checkpoint-4286,,,,4286
checkpoint-4351,,,,4351
checkpoint-4416,,,,4416
checkpoint-4481,,,,4481
checkpoint-4546,,,,4546
checkpoint-4610,,,,4610
checkpoint-4675,,,,4675
checkpoint-4740,,,,4740
checkpoint-4804,,,,4804
checkpoint-4869,,,,4869
checkpoint-4934,,,,4934
checkpoint-4999,,,,4999
checkpoint-5064,,,,5064
checkpoint-5128,,,,5128
checkpoint-5193,,,,5193
checkpoint-5258,,,,5258
checkpoint-5322,,,,5322
checkpoint-5387,,,,5387
checkpoint-5452,,,,5452
checkpoint-5517,,,,5517
checkpoint-5582,,,,5582
checkpoint-5646,,,,5646
checkpoint-5711,,,,5711
checkpoint-5776,,,,5776
checkpoint-5840,,,,5840
checkpoint-5905,,,,5905
checkpoint-5970,,,,5970
checkpoint-6035,,,,6035
checkpoint-6100,,,,6100
checkpoint-6164,,,,6164
checkpoint-6229,,,,6229
checkpoint-6294,,,,6294
checkpoint-6358,,,,6358
checkpoint-6423,,,,6423
checkpoint-6488,,,,6488
checkpoint-6553,,,,6553
checkpoint-6618,,,,6618
checkpoint-6747,,,,6747
checkpoint-6874,,,,6874
checkpoint-7000,,,,7000
checkpoint-7126,,,,7126
checkpoint-7253,,,,7253
checkpoint-7380,,,,7380
checkpoint-7506,,,,7506
checkpoint-7633,,,,7633
checkpoint-7760,,,,7760
checkpoint-7886,,,,7886
checkpoint-8013,,,,8013
checkpoint-8140,,,,8140
checkpoint-8266,,,,8266
checkpoint-8392,,,,8392
checkpoint-8519,,,,8519
checkpoint-8646,,,,8646
checkpoint-8772,,,,8772
checkpoint-8898,,,,8898
checkpoint-9025,,,,9025
checkpoint-9152,,,,9152
checkpoint-9278,,,,9278
checkpoint-9404,,,,9404
checkpoint-9531,,,,9531
checkpoint-9658,,,,9658
checkpoint-9784,,,,9784
checkpoint-9911,,,,9911
checkpoint-10038,,,,10038
checkpoint-10164,,,,10164
checkpoint-10291,,,,10291
checkpoint-10418,,,,10418
checkpoint-10544,,,,10544
checkpoint-10670,,,,10670
checkpoint-10797,,,,10797
checkpoint-10924,,,,10924
checkpoint-11050,,,,11050
checkpoint-11176,,,,11176
checkpoint-11303,,,,11303
checkpoint-11430,,,,11430
checkpoint-11556,,,,11556
checkpoint-11683,,,,11683
checkpoint-11810,,,,11810
checkpoint-11936,,,,11936
checkpoint-12063,,,,12063
checkpoint-12190,,,,12190
checkpoint-12316,,,,12316
checkpoint-12442,,,,12442
checkpoint-12569,,,,12569
checkpoint-12696,,,,12696
checkpoint-12822,,,,12822
checkpoint-13071,,,,13071
checkpoint-13321,,,,13321
checkpoint-13570,,,,13570
checkpoint-13819,,,,13819
checkpoint-14069,,,,14069
checkpoint-14318,,,,14318
checkpoint-14568,,,,14568
checkpoint-14817,,,,14817
checkpoint-15066,,,,15066
checkpoint-15316,,,,15316
checkpoint-15565,,,,15565
checkpoint-15814,,,,15814
checkpoint-16064,,,,16064
checkpoint-16313,,,,16313
checkpoint-16563,,,,16563
checkpoint-16812,,,,16812
checkpoint-17061,,,,17061
checkpoint-17311,,,,17311
checkpoint-17560,,,,17560
checkpoint-17809,,,,17809
checkpoint-18059,,,,18059
checkpoint-18308,,,,18308
checkpoint-18557,,,,18557
checkpoint-18807,,,,18807
checkpoint-19056,,,,19056
checkpoint-19306,,,,19306
checkpoint-19555,,,,19555
checkpoint-19804,,,,19804
checkpoint-20054,,,,20054
checkpoint-20303,,,,20303
checkpoint-20552,,,,20552
checkpoint-20802,,,,20802
checkpoint-21051,,,,21051
checkpoint-21300,,,,21300
checkpoint-21550,,,,21550
checkpoint-21799,,,,21799
checkpoint-22049,,,,22049
checkpoint-22298,,,,22298
checkpoint-22547,,,,22547
checkpoint-22797,,,,22797
checkpoint-23046,,,,23046
checkpoint-23295,,,,23295
checkpoint-23545,,,,23545
checkpoint-23794,,,,23794
checkpoint-24044,,,,24044
checkpoint-24293,,,,24293
checkpoint-24542,,,,24542
checkpoint-24792,,,,24792
checkpoint-25041,,,,25041
checkpoint-25043,,,,25043
